order_id,branch_id,customer_id,payment_method_id,order_date_time,order_type,total_amount
752dbe4d-5816-456d-b,4,95c5fb98,dbe15008-bc22-4703-8,2023-01-21T16:20:15,delivery,15516.49
0bbf0020-ff43-492e-a,2,9893588c,456c46ca-8bd8-4aee-9,2023-08-20T11:28:46,walk in,6240.43
f168fdde-f540-4670-9,1,95c5fb98,37517b5d-3edc-4d61-a,2024-12-16T02:38:43,walk in,2328.1
f1b3ad07-eb41-4ef7-8,4,d64a3ce0,42d05fde-8c28-4151-8,2023-11-29T12:22:25,delivery,36891.17
849ee6c6-b40a-41e0-b,4,5473da68,78094468-214b-4566-9,2024-11-11T07:19:57,walk in,24890.92
2e3e5a11-2281-4727-b,4,9893588c,d4f42aef-2af5-4af7-b,2024-03-10T14:14:00,delivery,19326.86
98ee8de4-50af-47fb-9,4,5987baf1,9744041e-d83d-44c1-a,2023-04-25T05:46:38,walk in,16952.19
0d9e3cde-f093-4de9-b,4,42d6cb5c,b6773352-a4d5-42db-9,2024-03-21T01:18:36,delivery,44168.5
806bb175-12bb-45dc-a,3,9893588c,8707ece5-38a0-4e61-9,2024-06-19T03:55:15,delivery,11934.33
9d92fc3d-8aaa-4d4c-b,4,ab721ab0,5c51c74c-2fe3-4f72-b,2023-07-27T06:46:04,delivery,32251.14
c8ae2b03-c199-4504-9,2,87f26aee,d29ff8e6-9035-42ae-a,2024-04-12T23:11:22,delivery,33732.19
c5e6af7a-f550-4cbe-9,1,a70ce1b5,19f1a072-59cc-411a-a,2024-10-08T16:22:52,delivery,18550.5
14176cc8-3cef-4006-8,2,a9f559fc,091020c1-7103-4e9b-b,2023-03-04T18:39:40,delivery,6946.4
2883afd4-823e-48a4-b,2,d1f6f86c,ba5ef67d-d428-47ac-8,2023-10-10T02:35:01,walk in,27891.97
930a24c7-812a-4318-b,3,9893588c,0204b1e5-952b-4fae-8,2024-07-04T01:13:20,walk in,43681.48
7872794b-30c6-4424-9,3,daea58ba,edee13fb-0312-44ec-a,2023-03-23T17:22:52,delivery,20722.64
9c9d0ae9-6bf2-4b70-9,2,ae711399,a9a6dde5-1acc-45d3-8,2024-07-07T12:55:34,walk in,25617.53
f362ac3e-a072-4560-8,2,6f055718,2c4089b8-64a0-42ae-9,2023-09-25T20:49:07,walk in,31861.22
184b63b0-0f6e-4fcb-8,3,daea58ba,12ff6c30-1e09-4b65-9,2024-01-25T02:04:22,walk in,42664.78
6c4c7ff3-38ee-416a-a,4,daea58ba,062ac898-899b-471f-b,2023-01-21T05:53:23,delivery,14076.16
56b92e88-1c31-4770-9,2,bcb8a084,431a640d-0a01-4e6a-a,2024-07-16T09:39:09,walk in,34761.78
2110f974-5323-4609-b,3,d64a3ce0,74aaecdf-daa3-43ed-8,2024-06-27T20:32:21,delivery,33246.42
ea0122c9-fe45-4c29-8,4,bcb8a084,31e5a651-d196-4172-9,2024-03-22T12:59:31,walk in,25941.09
2fc26701-5265-49f4-b,4,5473da68,6424fc82-386c-44e4-9,2024-12-19T00:33:30,delivery,19473.29
58358818-eeda-4843-8,1,daea58ba,46d96d0a-cf78-41ff-a,2023-03-11T17:57:55,walk in,33571.8
ad3000b6-2b84-4d33-8,3,95c5fb98,4d0f6144-f0e1-495a-8,2024-02-29T10:10:48,walk in,44728.99
6bbb95e2-e2c7-4d67-8,2,ae711399,e3b1b494-c54c-4cda-a,2023-06-11T16:51:53,walk in,30094.48
598f7b36-47b1-45c5-a,1,600027e8,1f334227-c4e8-4d4c-9,2023-02-18T10:35:56,walk in,27458.68
d0fec888-6ae3-435e-9,2,4d23bed5,494ee471-47e3-47ee-a,2023-08-12T23:33:18,delivery,30095.76
739d0e22-4386-470f-b,1,0f967bcc,e50cd652-47d6-4c5e-b,2024-05-09T12:17:06,delivery,2974.44
d6f9369f-705b-4430-9,1,0f967bcc,cb46b314-651d-4f4f-a,2024-12-16T12:34:55,delivery,17175.36
d13a3bf8-c800-45ad-a,3,635a8ce2,8e658609-4a86-4cba-8,2024-03-01T22:35:43,delivery,49058.74
de8b2a69-b892-4ddf-9,3,6f055718,8234cd5f-1147-4443-a,2023-12-16T11:05:47,delivery,5371.9
e918dc6c-e360-4ad1-9,3,d64a3ce0,220877b3-8df1-4ffc-9,2023-03-07T15:03:29,delivery,28143.46
df4e654e-ba4f-4730-b,1,bcf74d7a,87a3af1d-c168-4f83-b,2024-01-25T16:57:46,delivery,36589.41
3e993e58-c33e-4635-8,3,635a8ce2,be792a38-e34a-4ac6-9,2024-01-08T18:45:03,delivery,16388.81
1c5b3e39-cce8-4c94-8,2,95c5fb98,d4825ea0-afae-475a-b,2024-05-06T04:51:54,delivery,42556.25
354ab57c-71f2-4d84-a,4,34a9af41,8b845ca2-9afe-4aca-8,2024-01-26T04:42:03,walk in,44097.06
be95b27b-409f-4e1f-8,4,bcb8a084,f181bf08-ea4b-469b-a,2024-06-28T13:00:29,walk in,14582.36
d08a6b1a-00ed-410d-9,4,ae711399,ab152400-208a-447d-9,2024-07-29T12:51:41,walk in,37110.89
4d3dad90-5d1a-416e-b,2,bcf74d7a,7eae5d88-5edf-42a9-9,2024-09-19T21:26:31,walk in,21888.37
5a2540a4-c0c1-4338-9,2,635a8ce2,1550bddf-1d9c-4585-b,2023-09-23T04:06:48,walk in,41303.05
4ffccefe-aab2-4138-a,2,9c9cea0c,d727722e-f9db-4700-b,2023-04-22T12:40:00,walk in,7959.32
47e7d69d-57fb-4aef-a,4,a70ce1b5,535b2a5f-f185-4c62-b,2024-08-21T23:04:33,walk in,34924.01
1114a824-2a4c-4778-9,3,daea58ba,c8fb2158-a358-4c87-8,2024-03-09T14:42:23,walk in,19884.53
b80a4391-9240-4719-a,3,6f055718,e71a4798-a64b-41a3-8,2024-09-25T09:14:53,walk in,46390.74
01b57a2e-33f1-4cf6-8,2,62d1c049,e18830f0-1961-4eea-9,2023-10-12T08:42:52,walk in,4502.17
9817b92a-26d8-479e-b,2,94820a06,37dc9755-6f53-4549-a,2024-03-20T20:12:44,delivery,32827.12
a01e0a04-a88c-40d1-9,4,ab721ab0,d8cc4122-d5bf-49e5-8,2024-07-28T19:37:35,walk in,43475.15
7fabd835-2aad-49a6-a,1,bcb8a084,bdb239c5-fb1b-40e2-b,2024-12-06T00:47:05,delivery,3955.28
e3a38caa-da01-4ae6-a,1,a9f559fc,5e187de1-7ab3-482d-8,2024-01-22T00:20:46,walk in,23707.46
d101f160-b851-482e-a,1,635a8ce2,2cf9411b-0578-4fba-b,2023-07-24T02:54:02,delivery,32994.28
12e91c2b-d1ea-432f-8,4,a9f559fc,095c0a11-e838-4cfc-8,2024-02-22T18:24:50,delivery,38588.65
c13daed2-d1bb-4227-a,3,bcf74d7a,7660c23b-cef5-46b4-8,2023-03-03T19:30:27,delivery,28067.53
fe4c6213-a6e6-4c06-a,3,600027e8,6323b0d8-7028-446b-b,2024-11-09T09:20:12,delivery,44726.74
0ad486d3-5e71-4827-a,3,1eab5cd8,ac117839-0bc1-4a4c-b,2024-07-21T13:10:48,delivery,20389.23
b974aef0-16ab-44e9-9,2,4d23bed5,d032a932-bc70-4039-a,2023-05-31T06:13:21,walk in,10090.47
bdc08747-1b60-4a51-b,4,ab721ab0,6095d9d6-6439-4df2-b,2023-11-23T04:16:20,walk in,19534.39
ce8f5174-0f62-40c9-9,4,6a5ccc2c,94d3ddcd-f641-487f-b,2024-09-20T18:49:26,delivery,17828.0
6965a887-3f5d-4a24-9,4,95c5fb98,3bf60950-e5f4-4e61-a,2023-01-28T12:57:37,walk in,37332.5
c204dcd7-eb23-41c3-9,3,94820a06,09ce8f8f-a404-4424-8,2024-02-01T07:01:51,walk in,15964.39
2602c899-7c12-4538-a,1,213f191f,44545bb5-a7a0-4e6e-b,2024-05-27T02:53:01,walk in,20348.64
d7bb341f-c9c7-47f6-a,2,6a5ccc2c,0d70f92d-acc1-41bb-9,2023-12-09T19:12:23,walk in,3947.4
377468ef-39a3-4cf0-9,1,9c9cea0c,ffd19d04-eb1c-42f0-9,2023-03-25T19:47:59,delivery,5445.51
331ccd29-8b47-4c44-9,1,5987baf1,a99adcda-a228-49c8-8,2024-05-15T09:25:44,walk in,7041.38
c84b4301-11f4-407f-9,1,62d1c049,d6a3ccf6-49aa-496a-b,2023-07-15T13:19:20,walk in,9774.63
405bcb32-a091-4ecc-8,3,1eab5cd8,4c31e060-8e0b-4f37-9,2024-11-27T08:27:24,walk in,45773.67
20634a4b-3f02-49c5-a,4,600027e8,adc36103-cd36-4079-9,2023-01-05T18:06:03,delivery,27511.68
a0967339-50d8-43ea-a,2,94820a06,6852dbaa-6f39-47cf-9,2024-01-12T05:12:12,walk in,49556.25
e1e1efa0-ddc3-43f8-b,2,62d1c049,adf1be65-f6eb-4898-a,2024-10-30T19:40:25,delivery,46876.67
f30dd258-e85c-4b4c-a,4,bcf74d7a,e7b2ea69-3b75-4e2b-9,2023-05-30T20:05:47,walk in,17520.96
dd7cba2c-46f3-4f8c-a,4,bcb8a084,076cdb76-3856-4548-a,2024-06-24T19:16:19,walk in,12236.19
66273d3d-1573-4ba1-a,3,600027e8,fba58cb6-1834-448d-8,2024-10-06T13:44:17,delivery,12397.54
2e23e50c-f766-4b24-a,1,d64a3ce0,ea2f10e7-a9df-4aa2-8,2023-11-26T23:05:09,walk in,8455.2
b3c1cae1-95a5-445a-b,1,94820a06,6a1c5e05-6355-4433-a,2023-01-14T14:41:24,walk in,24595.23
d7a1b7a7-a947-4fb2-a,3,6f055718,08622069-d76f-41ab-9,2023-03-22T13:23:09,delivery,7235.15
43939de6-8fb4-4cba-b,3,600027e8,f3431042-f254-4103-8,2024-11-18T07:27:59,walk in,36051.27
a3143259-2ce4-4135-9,4,d1f6f86c,d3affb00-2e7c-4eee-9,2024-08-12T03:04:38,walk in,34881.94
69057a1b-12b9-4211-a,2,0f967bcc,b1212ca1-ace3-499a-a,2023-06-03T08:33:01,delivery,4304.68
c24378ff-00c7-4825-a,1,ae711399,0ec6e5a4-40cb-4954-b,2024-07-31T22:10:09,walk in,29210.38
029ad23a-4754-4313-b,2,600027e8,7a045632-c4db-4b33-a,2024-01-18T14:31:02,walk in,5330.97
cc613b13-2403-4b5a-a,1,9893588c,6c0af467-1606-4314-8,2023-11-02T20:06:24,delivery,1001.13
7e247585-c7b5-4f48-9,2,d64a3ce0,9fddb2d8-d0f3-4658-8,2023-03-01T00:37:18,delivery,29893.05
619daad7-2824-440e-9,4,62d1c049,95212259-d30d-4ab2-8,2023-11-05T18:56:27,delivery,27544.8
649a5765-1d59-4a91-b,2,ab721ab0,a926b1ed-e549-4702-8,2024-11-17T08:06:10,delivery,38424.99
8d1488ee-bb5b-4eab-8,1,9c9cea0c,ea47a5d6-39c1-40d8-9,2023-11-24T11:08:43,delivery,18756.14
fe815abb-190a-405d-9,3,5473da68,b01a136b-8f84-42fe-b,2024-07-20T04:20:54,delivery,35377.6
1498e79f-e1e0-4c5f-b,1,daea58ba,358f04ae-c537-433a-a,2024-02-12T00:37:59,walk in,47926.05
5cb46d0a-23da-432f-b,3,daea58ba,ee000c83-b0da-49e2-8,2023-11-15T12:21:22,walk in,9276.12
8b7bcff4-3872-459a-8,1,ab721ab0,79096478-1d37-4e0a-9,2024-06-30T09:43:53,walk in,46357.2
2a4004b9-c26f-4e3e-a,3,bcb8a084,03b864d9-d151-460e-a,2023-12-14T09:30:04,walk in,20014.72
0755d840-a7e8-449b-9,1,9893588c,15614145-8a35-4d9f-8,2023-03-20T07:36:02,delivery,40254.1
2323c308-433d-40ed-a,2,34a9af41,21fe19b4-d7f9-4d1e-9,2024-07-23T00:36:42,delivery,2881.99
cffaf1f2-6b26-4dc4-b,1,026530cd,352c70b9-3d6e-42dc-b,2024-09-01T06:12:03,walk in,6314.27
5b1bbd1f-e5eb-476c-a,1,a9f559fc,2da24237-58e7-4cff-8,2023-11-27T21:37:34,walk in,31926.19
edf120cc-0463-4b28-9,2,600027e8,a0bfcc5e-a738-4c05-b,2024-08-10T11:00:54,walk in,8381.49
5d6b1f92-112e-4e68-a,1,9c9cea0c,d01db551-1d9a-472d-a,2023-03-17T12:18:27,delivery,35578.73
85ca0923-49ad-4aa4-b,3,026530cd,0755234d-2f70-4d3a-9,2023-11-16T22:44:59,walk in,11924.61
42b7dbb5-c113-4fec-8,3,1eab5cd8,25a22b8e-0745-4f80-b,2024-09-09T12:46:47,walk in,8678.88
1a783cd9-78be-4733-9,3,a9f559fc,8f639dc5-3390-4c1b-a,2023-12-24T16:37:53,delivery,18388.37
cc96ff27-cbff-4279-8,1,bcb8a084,df9ace43-285b-441b-a,2024-07-21T04:18:27,walk in,49829.23
975f5555-754c-4f7b-8,1,4d23bed5,8826150b-6c08-4057-8,2023-10-14T03:17:54,delivery,39180.28
3f2994dd-0c25-41e9-9,2,d1f6f86c,44cab1c0-d0f9-40d4-a,2024-01-27T14:54:57,walk in,31138.69
0ccd13a9-44f6-4f8b-9,1,34a9af41,aa2006bb-9b05-45b6-8,2023-01-18T10:48:34,walk in,19897.97
15e5081c-8b9f-4fb1-8,4,bcb8a084,28f8db90-1a16-412a-8,2023-10-30T15:42:11,walk in,25482.88
fc705249-41c2-422d-a,1,a70ce1b5,9670677e-045b-4801-9,2023-04-10T07:46:27,delivery,5196.21
59c3d6a8-b9de-4e8c-8,4,0f967bcc,7b35d9f8-44e2-4cb5-9,2024-06-25T15:09:55,delivery,30761.03
6c455821-22be-4bb1-b,3,9893588c,267d70e6-ef41-4aab-b,2024-04-11T01:09:48,delivery,41630.32
05d52139-d0b8-4e8c-a,1,026530cd,a9067fe2-f383-4298-8,2024-08-22T09:43:56,walk in,29834.73
1220f9a0-92ed-4565-a,4,bcf74d7a,1530bee0-3d2d-423d-a,2023-08-31T09:03:02,delivery,35813.65
14560824-14d4-4949-a,2,6a5ccc2c,22cdee9f-8710-478d-b,2024-07-17T23:19:39,walk in,35915.43
08b6f0d3-219c-40e6-9,2,635a8ce2,d4d02e81-c7ed-49ae-b,2023-02-15T05:05:05,walk in,44249.06
7f9816cc-73b4-4dbb-8,1,635a8ce2,3cfcf0b7-32b6-40c9-a,2023-04-21T20:36:48,delivery,31290.62
9817d535-fc36-40b4-9,1,5f811cb9,40de6e64-f72c-4819-8,2023-07-04T00:33:43,delivery,35791.92
d18a67e1-2cf2-4652-8,1,34a9af41,e2a682b5-9728-4a49-9,2024-11-19T21:57:13,delivery,31036.6
8a31f6a6-6522-4c76-8,3,82bde024,ee41fd1d-68c6-4ed9-b,2023-10-12T20:05:26,walk in,7970.92
89ee831c-4fbe-432a-9,1,4d23bed5,afe8e8cc-5278-4f21-a,2023-01-11T13:49:42,walk in,3796.5
14916d84-43b5-491f-a,3,600027e8,c602af98-e03f-41c9-b,2023-09-06T12:55:08,delivery,25383.37
d16cb8ac-3893-42d3-8,4,ab721ab0,ac69142c-46a0-4413-b,2023-04-01T19:23:06,walk in,41515.58
c00e2cce-ec4f-404f-b,2,42d6cb5c,dc9ba9d1-972a-4390-8,2024-01-02T04:16:04,delivery,21894.89
6ae342ef-27f2-440c-9,4,bcb8a084,f665fb6c-b8a6-4613-9,2024-01-23T02:32:43,delivery,11345.19
7b43efe4-20cf-4051-b,3,5f811cb9,ff0ef847-f35e-4f05-b,2023-01-23T13:57:39,walk in,41122.65
fd32d072-a203-4a13-8,1,a70ce1b5,710e6957-4104-436d-a,2024-09-05T23:25:01,delivery,2336.94
4b9e3905-d49d-4051-9,1,9893588c,f5110f35-bf6c-486b-8,2024-05-29T22:09:00,delivery,31943.0
c01d1350-d138-4c59-b,1,82bde024,8da2334d-d6aa-4e8d-8,2024-08-30T04:06:09,walk in,15910.64
f8659010-9c62-4579-8,2,62d1c049,c9dd70e0-5247-464d-b,2024-11-09T18:19:56,delivery,30629.41
81ce5c23-6755-4884-b,3,9893588c,f0fff496-174d-4e35-8,2024-10-03T22:48:23,delivery,3217.1
5462e77f-fc79-46dc-8,4,a9f559fc,a00684cf-af33-4fe0-9,2023-07-28T00:12:51,walk in,1722.22
eb1a8331-ba08-4fb6-8,1,0f967bcc,7b935893-9dde-453a-b,2024-05-06T14:28:54,delivery,38780.04
400ae4bd-3950-44ef-a,2,5f811cb9,63cfdc9b-223b-4875-8,2023-02-09T05:20:49,walk in,21507.19
c4f96cb5-f36c-4b0b-a,4,635a8ce2,ec6f5c78-6eca-4868-a,2024-06-30T22:38:12,delivery,46650.4
ef6a4fbc-b2b7-4de3-9,2,026530cd,f7245621-98e9-4b1c-9,2023-11-06T23:13:55,walk in,8277.06
8476a919-e335-4a03-8,2,4d23bed5,744c52df-a269-46e5-8,2023-03-21T12:04:24,delivery,37335.52
cc4109ab-9abf-4738-8,1,94820a06,e7c3a1f9-68ea-48aa-8,2024-08-23T10:58:38,delivery,31169.36
43ef3107-0138-4a15-8,3,635a8ce2,78892251-d82d-4552-b,2024-03-29T17:41:09,walk in,5836.11
7dc103b3-e4d6-4d94-8,1,95c5fb98,b68b31e5-b6b7-42cc-b,2023-10-11T04:22:35,walk in,22838.11
26e862f7-36c7-403f-9,3,5f811cb9,ada7ee3b-be5a-476d-b,2024-07-16T22:39:07,walk in,17912.78
46ff8a19-597e-4cce-a,4,7576714a,bbcf26fa-fb0e-4605-b,2023-12-29T18:27:58,delivery,37266.25
e5a2de0f-1ea5-44af-8,4,1eab5cd8,1d97f0f0-2fd8-4c9e-b,2023-02-27T20:55:28,delivery,15612.18
96108c47-7f17-47b8-8,1,d64a3ce0,292dcd42-4c14-4fbe-9,2024-05-27T21:19:34,walk in,40899.06
47308dec-3956-4302-9,3,7576714a,f066d352-9e13-4157-a,2024-11-16T19:23:19,walk in,40586.58
af2bbcfb-e046-43c1-9,2,7576714a,7d405dae-aed0-4ef6-8,2023-01-27T19:44:00,delivery,26215.14
f4e2f5a5-3960-4cc6-a,2,94820a06,83bfbc60-9b33-4c2e-a,2023-07-13T11:04:00,walk in,39040.32
1d677afe-621d-4d5f-9,1,42d6cb5c,6fc26bc1-50e7-4080-8,2023-08-19T20:33:13,delivery,6228.38
f1a32b74-c636-49cb-8,4,5987baf1,356ed229-632e-4f0f-8,2024-01-24T08:15:59,delivery,20332.07
85058d98-e143-4c4e-b,4,a9f559fc,3b90c0ca-c9e8-4595-9,2023-12-27T01:22:03,delivery,28239.3
7065d4c0-ce56-4dd9-9,4,213f191f,dbc06fd8-b1a0-411f-8,2024-09-19T13:56:58,delivery,35046.98
054a8c86-8e7a-4b46-a,3,4d23bed5,c42613ff-c8c6-4c59-a,2024-11-02T23:06:34,walk in,10421.06
38b5c40b-2cd3-4fc8-b,4,0f967bcc,b6d0b3ab-acee-4b9e-9,2023-05-07T11:17:31,delivery,33553.52
c38750b6-ad71-4f77-9,2,bcb8a084,35501e52-8749-4f29-b,2024-09-19T00:05:42,delivery,12008.27
21e22bf0-ec23-4a9a-b,3,ae711399,5b28c706-87fb-4c03-b,2023-02-07T05:10:02,walk in,2730.45
791ebaf4-6596-4a74-8,1,4d23bed5,180652f4-29f2-4e0c-8,2024-12-17T12:19:45,delivery,10387.93
c199e8ff-d61e-4502-8,2,213f191f,4a22ee3a-b15a-4bc9-a,2023-09-04T15:12:57,walk in,29743.3
886e1ba9-e93b-4605-b,4,6f055718,0c2675ee-9505-4efe-8,2024-01-24T22:28:44,delivery,47481.5
5f563296-49c3-468e-8,2,ae711399,4be78d21-3773-45e8-9,2024-10-16T08:45:49,delivery,6108.54
d6f56b5f-3e7f-4489-8,4,026530cd,71ec83a0-bcb0-453f-9,2023-10-31T22:11:52,delivery,44919.65
92f4d8ee-ad43-476d-8,1,d64a3ce0,bd0c1759-7d57-4f94-a,2023-10-23T02:06:34,walk in,19419.19
53f3b6c0-be9e-4093-9,2,452ec40a,b82e9ff2-15ff-4823-9,2024-07-16T18:34:30,walk in,22067.08
edf4177b-edb9-4501-b,2,9c9cea0c,ebce9ab5-61e7-4d9b-9,2024-08-30T18:21:28,delivery,49513.96
8fd08ea4-0dad-4b8b-b,3,5473da68,0f27c978-bc2d-4371-8,2023-11-18T00:55:09,delivery,35614.78
b3fb9050-6c3c-4bd9-a,2,34a9af41,e31e687b-b05b-418a-8,2024-12-21T15:33:22,delivery,33774.79
4de9a7b2-4f72-4018-8,4,daea58ba,dd933ddc-5759-4db5-b,2023-07-05T00:01:03,delivery,21857.17
461297aa-ae38-4de0-a,4,5f811cb9,8fa95726-0ca7-4d20-9,2023-08-23T21:08:13,delivery,15467.43
83c2a181-91d6-4447-9,4,94820a06,0e94d284-29cd-4d4f-a,2023-04-21T08:00:52,delivery,14123.89
e3bba33d-f5c3-44c5-a,1,9c9cea0c,2db01c43-fd2f-48c9-b,2023-02-14T21:36:48,delivery,34040.52
757aa20a-fc55-4aba-a,2,42d6cb5c,2224d54b-4e14-4bfc-a,2024-06-01T17:35:47,walk in,15590.36
f93247d9-93be-4113-9,3,94820a06,ba30ac35-b174-4d7d-8,2024-12-01T07:13:34,delivery,12334.61
d836374e-8348-4bb6-9,4,600027e8,c9c5dcd0-a48b-4275-b,2024-09-14T07:24:18,walk in,43592.84
377aca4f-e3f8-4269-9,1,ae711399,07b805ac-c759-437a-8,2023-03-26T02:06:46,walk in,39244.53
cc8b60d2-7edf-4703-9,2,a70ce1b5,37ddabbb-2c7b-4cc4-9,2023-03-04T01:30:34,walk in,2595.34
cf86d555-aa7e-432e-8,4,ab721ab0,8b5ae0ff-27fc-4a55-a,2024-07-17T15:19:23,walk in,6771.41
0c071ad2-b193-4ce2-8,2,1eab5cd8,b7802ec9-6f28-4ad9-b,2023-11-29T14:04:26,walk in,39088.74
61cd59ed-8bed-4dd6-9,1,452ec40a,018fd021-355f-4afc-a,2023-04-07T11:20:40,walk in,19886.31
b77a11a1-383d-43cf-a,2,635a8ce2,20a48a45-ba18-42f5-8,2024-01-24T19:17:46,delivery,32387.45
572f54cf-577f-4c94-8,3,82bde024,1a947d5b-030a-447a-8,2024-07-07T10:33:00,walk in,20576.85
c399a9cf-8033-4231-b,2,4d23bed5,2a47ce2c-aec9-4de9-a,2024-02-08T12:41:04,delivery,33249.49
50d71921-ddde-4858-9,2,34a9af41,c09e102a-bbd3-4b05-8,2023-03-11T04:07:10,delivery,3427.24
42c9e686-d9b3-4d44-8,3,bcb8a084,a2c0c12f-a527-40b8-a,2023-12-28T10:43:56,walk in,14800.67
ee40319c-2390-4fde-b,4,ab721ab0,bd6689c7-662f-4cf5-b,2023-05-21T04:54:12,delivery,22088.02
