order_item_id,order_id,menu_item_id,quantity
ffdd3eea-1345-453a-839f-4be3d91b,45052dbd-2f21-4d1f-b,3cdc4043-6fa8-4522-9cc4-3a2a4a6b,4
f0555cbd-f7c9-4454-ad83-5a05ef2a,c27f8cd6-29d2-41c8-9,35aff310-0ce9-4f4e-83d3-f06e11aa,7
c95e125d-2b29-46bd-8210-00812362,8d478f35-abe8-48f5-9,8a671f24-5b8c-437d-9e57-c6517160,7
f7e79c48-d5ff-47f6-95cd-cad5adf9,194d0929-e243-481f-a,5bf40480-5853-4b0a-afa3-ac8427df,1
a93b04ea-5152-445d-b07e-617a2063,41ab6582-8d9d-4379-9,fb552db5-19e2-47cb-945d-f1d6f307,1
3fd89999-0594-4a8a-ae91-75966b0a,5b440c9e-87c1-404b-a,d2acd90a-1258-4868-b08a-86d0326c,5
8f76c3ca-1d87-4c11-a879-4ed1b681,e7839e8e-a789-4663-a,c27cc37d-9f55-49d6-b1eb-61967622,8
47010813-16ef-4ebb-aa9f-dfedb5bd,47fb896b-f71e-4a6b-9,185faa56-63fb-45db-bb13-f953d671,9
4777b611-40df-47c6-9d60-728c145f,52658e31-a96e-47a2-a,bb168720-1db2-4020-9b76-ee07ef7f,5
03057059-4122-4d90-ad8b-36e1a9b3,6500e8bd-7981-4a0b-8,28512e33-f786-4979-96df-d5f5e888,7
71a21754-216f-41d2-9628-1e8f45e7,5d0ded82-fa00-41e8-a,a185897b-2227-48c7-a746-d536a2d3,4
2f5d12fc-2915-4f0f-ae7d-59e99b76,3d56a542-cb0c-4464-a,361dc5f6-f005-4c33-b5db-b1040e3c,9
e250ce0a-197b-4c37-ba5f-18e9c977,2ba2e21a-1897-434c-8,840366de-be80-4f24-9d6e-05c1dfd3,10
8ae73be2-ffa3-43aa-9bea-aa9db5d6,6e996389-d51e-44a0-8,f858353b-16b9-4f45-bb60-758d40d6,10
cbe7eeeb-1d02-47f2-92d6-2a2ed67e,d6f43301-3fa5-4708-8,da7d2ca2-48af-4b66-bf38-f328476e,3
ca733e59-c0b6-49c7-a98d-9b62050d,b95d41ce-944b-432e-b,4b3abdc9-b9f4-44ca-bcaf-70b2f0ef,6
51b96fca-b633-49b3-8b00-9047c438,97709a3e-8b04-41c0-8,9d25241a-ab69-4189-b7f8-c1e44e36,7
6fa966ab-7774-4b18-8298-ab1428d5,ddc60a57-8ca6-4ca6-8,992d5c06-f9cb-4f76-be11-6a1c3941,5
565d0a13-fad5-4134-ab58-bbcb5bcf,832303b7-69c4-4f24-9,fce8d115-5e8d-4ea5-80a2-3f98195b,5
1efd6104-645d-4c1d-8f0a-b3c326a3,b5cb65d2-6e94-4041-a,a0160b8f-8b4e-4515-b1e5-795ec49a,3
6483170c-bd8d-44a7-84b6-d165aa54,6c4864ca-00f4-4803-9,3abb04d7-ca44-4cd8-8051-1936888e,1
f0ec6ec1-3f34-4695-8a22-6e66dea5,39784d18-499d-4f31-b,09ff8ea7-b415-4e22-adaf-77d30a88,2
3800a151-3109-4453-86c8-eb59446b,d03bb353-c62d-406a-b,99516d6d-246e-4e1e-8fa0-94c1a953,9
5ee62ae8-5925-45e8-92fb-b32ebb3e,4b3b6924-fd4a-422d-b,6f166961-1002-4816-9458-0b73ae81,1
efbd0011-5c6a-4e09-b2c0-7cafc016,d29f554a-068e-42ff-a,f56c888f-3e35-418e-8ba8-07b47906,8
c162731e-d13d-4b6f-9209-8bd807f5,5b24da46-b1ff-4b5d-a,334ae68b-b02c-4cd2-ac43-2778a134,6
f059fbca-4790-451e-a730-ca189de2,61bdd630-23c4-43f7-a,c2e736bd-a0d0-4e62-a7e7-0ad8734a,3
8a9582d4-3789-4000-b661-3fbaa41a,21618bf6-224b-4abe-b,6da48186-4754-48ce-a9dd-b07b39e3,9
9798f053-b737-4ffa-9748-ca4df918,fac18e4c-e803-4564-9,3268b7d3-3230-4c1f-9f5b-090fd7e0,2
c1fdb87a-8ab0-4593-9bfa-2c00a142,f87e35ce-c1fb-4a4e-a,96af45b2-2a8a-489e-b7c4-cc4ab4c1,5
148584a0-c2c0-491b-9196-3848227e,0438695d-d065-43e8-a,5720b323-d1f3-4b6e-9f07-6dcf43fd,6
76624898-dca3-4f59-8f9f-f8d62299,fce70277-c797-4939-b,dfcc2592-de7e-4303-8254-82ed8f4c,7
6d3d30b5-941b-4d3a-9b38-9f8a269c,d9cf0928-0390-4d65-8,dab67ac4-4eaa-436a-9ae1-7a18708f,5
847ba5ac-8da3-476b-92e5-146ba918,6fb98ef7-8538-4189-a,531424b1-7af7-49bb-a6a2-d70a5d79,6
92581395-7995-4238-9733-f2525874,dd8f4798-3f75-4c8e-a,ab574ddc-dcb5-489c-8668-709aabee,3
75b69987-8604-4fbe-8c88-5652194f,ebf8b9c8-a23c-421c-a,4fc5ef31-3f90-4f55-8253-4cb47c1a,3
27425f55-7931-4448-964d-b2546616,2a2fbffb-46fc-4ccc-a,517ae845-f970-4e41-b2ff-61c7ecb7,4
8cea23c7-c2f2-4a8f-8c83-0909ab08,10a3a714-c22c-4eed-a,8bb8c5fe-cef3-4071-ac1c-72fefd94,6
12432cc7-8ebd-49c9-8e22-9c386a14,9b5443ae-4121-41d7-a,42c58e6a-031c-4fa4-8ba9-99aa7706,9
5b5a8182-c660-4782-ac7a-4787fe13,2334a067-96ff-48ef-9,c595bbc2-857d-4235-88bd-789510d0,6
d5704056-2fb8-4221-a98c-a2cb0851,3cea5d76-3be5-408a-b,459d4380-0ec8-4fd7-9ed4-3ab92fd0,10
79cad847-fecb-4283-84ff-b711f6e0,c47a1a29-ebc1-458b-8,3059aced-5495-43fc-b801-31d47c39,5
d9732f3c-90b1-4ebe-a0e3-d8b053a8,e6ba08f9-25b6-48f6-b,66e738c6-285a-4c21-9854-20d8f428,8
034c9048-364d-45ff-9598-5882a2e1,0dd3e8d0-857f-400e-9,d529af3b-ead3-4785-b29f-6c40d400,2
b33fcb84-46c8-437d-a6bd-cba8862b,989f2d7e-625c-40b6-8,1cb51f23-1b7d-4820-809c-53272848,5
e93f4319-40d8-4f1c-84a5-20c480b3,83283d4b-aeec-4ebf-9,8e929fc3-a5ba-4a5f-b807-163253a2,8
34985a4d-6594-4237-97f3-e598b235,0995103f-64d4-48d3-b,eb52b6cc-3dd8-4089-b90e-6d4256fa,5
59009158-bb86-49ff-b9e9-e571312b,421ea9ce-63d9-44aa-a,8db0799b-cb6d-4b95-b0b0-bc47bf39,7
1afd85fe-a42d-4e58-aea6-4f5104d9,d7114d7f-f104-4879-8,0198cb6e-527e-4d52-90a0-f652841d,9
a387e9ad-482e-4baf-a735-dd581986,1f4440fc-a63f-4ce7-a,fb6e3c5c-169c-48eb-b13b-fe2a4c43,5
b9525daf-d4c9-4d26-bfee-cbe8e6d5,56fbecca-7c03-479c-b,77c40f9a-e983-4749-80fe-0a4d25ca,10
643b24c2-b807-4eee-ba56-dcd87a7a,e2357333-801e-42ef-a,38602f1e-1c83-43aa-86e8-2e9465f0,4
dca1f66b-d4e4-42c0-b0e2-8d3054b9,a0c14209-d636-46c6-b,107160dc-046e-4d53-85b9-2ab889d1,4
35fbad06-d95b-44ad-9bf2-f8b65e47,ce7f576a-0d81-4696-8,97034528-7156-4d3d-91a1-01d22a47,7
8d3eb554-7263-4e45-ad99-5b3d5ebd,3cf1754f-0c8f-4426-a,64d1ef86-d29f-4eff-9d39-07131db8,10
482bdf08-e556-4416-a2fa-3a4a49b5,22e975bf-8c64-4cfa-b,894a864d-800c-4596-8de8-12a5a425,8
ffe5c031-b618-4ced-b0a7-ba46f3c1,e47ae314-f82e-4fef-8,beaa5399-8e19-4e65-b358-f32a0817,8
b3e86cd2-e1e1-4705-82e5-83985a54,efb0de21-277e-446e-9,2f49eab6-0aa7-4aee-835b-2b5be335,1
18105306-1c58-4a31-b9ee-79bdb62b,32b2dafe-6803-46ea-a,e4eb74b8-91c7-431f-8107-c743a227,1
6e72b027-bc2f-4857-abd8-a0e331bf,8684bf54-b459-47de-9,3e8160c5-e911-4c8d-9b96-3c89bd64,1
24185f82-86c9-4f29-9abc-d211d181,c99b686a-9360-4538-b,a4dc835d-c355-4e7c-9032-35c9bd7f,10
206b83da-f9dc-4375-8b94-d221caf8,49f1f753-ac51-4f9a-8,0bc82123-5b32-4af5-a814-86d111c8,4
7f9f8fbd-250d-4c9e-a48d-1892a06c,30a2827a-8159-4f11-b,2dbb4412-6177-43f2-aae3-db57f08f,1
9970c727-283b-4960-8513-c7099ef3,6245dfd2-0c39-4637-8,5a5933ce-c4b2-4f8f-9dd9-0050ea2f,10
6a501646-70f4-4121-95bc-de4c393e,495a51d3-f9fc-4976-a,28be1f45-be9e-4ad6-b8c3-67d9cbbe,8
50d468a9-9927-4d38-94c6-a51c2216,a1b73ba0-7b43-4c97-b,7b91e6a5-eb2d-4218-a03e-fa7e86c2,5
c5bf252c-4230-462c-a6cf-bc2241bf,11752745-3911-4318-b,3a9f90c7-2176-4690-8661-b73c89ed,2
3316240a-24bb-4a8b-8c16-368450ea,98efe389-e8d6-455e-a,dd81f64b-07e9-42da-be20-74ff1468,8
c87a7f30-30aa-46fe-9d1e-8d84d340,c3cca131-fa1a-4082-8,2acff09d-9826-4f35-9aa3-d9662030,9
598a8142-39f4-4671-ac24-712635c2,e918dc6c-e360-4ad1-9,0a09ebee-7951-44ef-9b7a-a052285f,3
a5cdabaa-ac6f-4ae0-aa41-9fe8040c,199fd44b-4f4f-4425-a,844d2a07-7ec4-4c4b-a12c-0069d714,10
a6ae62a1-91fe-4588-95b2-6405d9e3,ebde4866-bf69-4951-a,211d9376-2348-4776-88a9-56bd0898,4
64f7eaed-ae83-4207-852f-523933e4,29d88699-b386-4e29-a,0857e185-e808-4827-8e26-9b15d6a3,9
e20fe42c-6e41-4d06-9b35-73645d9d,e9429462-4b48-41ae-a,7ee8c49c-e5d6-4a59-a74c-ea07374b,5
ebe2e77a-c356-4ffa-a2ae-93df9f48,18c1563a-bb39-432e-9,935d0a8a-7681-49f8-9dec-cb4f2332,10
ff51160e-d144-44d6-9520-51acd2c2,06735002-06ff-4fc2-b,668ccebe-8d02-4286-9ca3-6f0072ca,8
dde199ef-fc95-4aa0-8f06-ced38886,92108be3-0ee1-4c8e-a,e72e6d9f-64af-491f-a8e0-0558a64c,3
9c72a7db-54c3-45a0-8b0a-9dfeb94a,2c391546-4f12-431f-9,520312cd-f4cb-482b-a131-24be3a18,8
3fd214f5-60cd-4a70-bf80-73743826,7ab36b85-5a6a-4caf-b,effa4b08-e7c2-42f7-bde0-b513fe3b,1
6a5c25b5-00e6-4792-800c-a9cb6eab,378203e4-de43-4cc5-8,ce041a60-6bd6-4213-bb57-fb7d3c96,2
7df3b20e-d8b2-4f1e-9178-7dc9447d,c245d098-dad7-4b42-b,23f54cdc-68ab-4e30-9141-5016dcad,10
8167434e-97b2-4fb1-a00e-40487298,27ed372f-527e-4e73-8,d89b09f1-bd9d-4d17-88b4-88c2c952,2
d0312a25-8790-452e-884a-b5c5c77c,5f706ed8-4f0a-4016-8,992d5c06-f9cb-4f76-be11-6a1c3941,7
d31f40c9-2720-4db5-83f3-410a82ad,9f269b01-3852-4445-9,178139d8-fa12-4683-8299-d468105e,3
1c94f72a-a1c4-46b2-92b8-ad02e75e,dd3a95e7-b453-438f-a,903a6af2-8b4d-414b-834d-4a6acbd9,5
5ea6345a-8ace-41e3-82ce-deb09012,6869d06c-8601-471e-8,9d426c7f-8256-462e-a69d-8b8e0938,2
0eb600f7-357c-4bcd-8775-1a3306ac,b2a07810-c3d1-4ec9-b,fc4e11b0-4f2a-47fd-9c66-13bcf9cf,3
3cee192f-29de-4d25-b7f4-a69234f8,4b66e9d2-a376-4638-8,f61af699-f8f5-4d36-8680-d3382f7c,8
c00e68e9-1a01-4208-976d-7b08e85d,24bdd07f-7f38-4de6-b,777dc30e-e9ab-4516-b07e-27de3e63,4
3dc2cb50-2395-436a-9503-7e43697a,ba703fde-65d8-4ac8-b,067c52e0-37cf-44b3-8bf9-77dd335d,8
139b3845-726d-4d1f-94b2-0bf5f1f2,ab61d470-ab0b-4552-b,0f578823-2c8a-4c91-800b-772c0dbc,1
24ee19e7-2a87-48ff-8c71-24af5d23,aad4d2da-c77d-4e8f-8,4b3e66a1-0a61-4126-9721-9268f83e,2
a1cebc85-35b4-4aa4-a161-77470e03,e6e2a443-d043-424a-9,24f91bc4-f4ac-4ca8-b37a-16673abc,6
53c0836a-4dd4-44c6-ba0e-229f5cc4,793a1410-69e3-4774-9,5ae22279-1dfd-4769-8d8f-24f8a820,10
26218c1c-7617-4b01-8ec0-6c511cf1,e3b0ad73-12ac-469c-b,43811b82-06da-4ded-a5e3-9c71f06f,7
32751b36-8f76-4376-93db-9874a5db,42fa23ee-5d2c-4acb-a,33a6bc3b-d273-4126-a4f5-264c805c,5
c846519f-b362-4e0a-9ec9-67a9fd17,3231223e-ed50-4f45-8,5e789fa9-e655-4895-acb9-ba4029cc,4
94b49fbc-1e9d-4c9a-aabb-35b92697,4bb6761d-3d43-4308-b,0857e185-e808-4827-8e26-9b15d6a3,8
9d06ebe1-4062-40aa-a210-d857c0b6,bbdedade-cc0e-4c75-8,f085fcd5-3396-44ec-a83a-ac6f9f33,2
33c391f7-2287-4f62-9d40-0276ad17,8e3c9e58-5167-469d-8,3a533283-89d6-4874-bd1f-e68269a6,2
7778a53f-6fbb-4658-bb23-9b9f4650,de802587-0461-439f-b,d1888a83-7899-424e-82ec-d502da58,8
b9afdd17-0213-4c9b-80dc-acd34c49,57db147f-3c57-41c6-8,ae95a088-2170-4c8b-839a-d8ea1c99,2
c1ec2d43-577d-4887-832a-808e1f6d,68fa96a9-def9-4b2f-9,b6da51fe-6575-4c50-b774-6e397b37,2
e44aef57-b1f5-448e-8a90-0b357076,d1edd80c-d72d-4fe0-8,f7190126-a951-4a12-85f6-72b85e30,2
bdfa7ec8-00e4-4d22-9142-222d22be,9fae2d80-1a71-417a-9,447afdc4-5d7a-47cb-82fa-078503b7,8
3ec80a65-d8e6-476c-9ea4-5ebaa9b8,b5ecb76b-23bc-4085-9,ea0c54ab-aab9-4432-a1c5-3ca44c4b,4
c2d93538-a558-45e9-802f-032e3cd1,70de21db-3cf1-4b45-a,52fb438d-bfa6-42e3-ab44-189855ad,4
5ff9610a-e1b8-44c2-b08e-f4fead33,937d0e9f-40c1-4716-9,b68fbb15-fa75-4549-a4e7-338d897e,2
da40403e-7447-4143-85d3-f3aa6c08,d031f43a-ee16-428b-a,68c763f3-bcdf-4dfb-913b-f3f2e61f,8
1c9745f4-f596-49b9-a4af-e94263bd,e0a31104-10fc-4875-a,97c97a98-e9e5-4358-a00d-38829ad4,9
f4eabc86-ed67-4aba-89e6-768805b0,f5d3ce0d-d771-47d5-a,41f09f56-7eb1-4c22-858b-4a707946,1
9e54289a-2442-4ccc-b67c-abe5e14e,251c1aa1-2502-4061-b,dc6245a6-9d00-44ab-8b7e-00f90998,4
85ae2a96-64ba-4d35-affe-f2df387b,1df0aff6-7730-4a62-9,747e81ca-2098-4120-8035-f9ab3516,9
672212b2-35e8-4678-9216-194bf95c,03b4c87c-48ad-436b-9,44b8ca72-451f-469c-8c8d-f977d9e3,10
cfdfce3d-6acc-4dcd-a74b-9db3af21,0b90e76e-7c87-41ee-a,b3463185-e696-401c-b7a4-4ad84f6c,7
c12a3a37-5cac-4803-ba3a-a990d13d,bb428533-788e-4376-a,e918b4d4-9e19-4ed3-9ded-48627204,9
5d0b73f0-c52e-4fda-bbf6-6160fc23,604fcb18-098b-4031-9,1fe1d887-1fa7-4b36-bd14-8a98f8f1,6
41357dc8-9d55-4497-9db0-30d54d0f,2dfff2f4-8af0-4714-8,974da43e-b7b6-4702-a8de-5f1f87c5,8
2fa967c9-7065-48ac-837d-da7d7a2e,d4c43345-f0fe-4379-a,2d09684d-5e2a-462d-921c-62909164,5
da0a787c-bbb1-4443-abd4-12a17f7a,22b986c5-45c1-4d93-8,2c764be8-5846-4893-afd3-0ccce0ad,9
39e547e1-4f7a-409e-84ef-6b5d6c1b,4309501c-c4c6-4f8a-9,e0b1d1ab-5aa0-4170-80a2-6ed9dbd0,10
eaf58873-ca81-445c-9cf0-a0208c30,2bec16b0-ef49-42b0-a,2e4f2afc-e027-4a90-b996-3e1896d2,2
0150c3ee-fea9-427c-910d-fd9b8141,18a75dd9-c85c-43f6-8,bc6e02ea-bc57-461d-ab40-1caef79f,6
a59a49b5-43b9-41c8-8169-f50cefea,71a68d3b-1687-4152-8,3859a8ed-6bee-4297-beb6-83ae6fca,5
4a4da41e-c31b-4914-9a05-84226f9c,da9d9e3e-26ab-4cf3-8,1ee77cf8-28cf-4208-afc0-e820d93a,10
26a8aede-de3a-4fc7-9879-af57b06a,a0dd0a20-6ee8-4e48-8,c56e0a95-0794-4576-a097-3aced15f,2
2415fb81-ff08-4728-b53b-e7050564,e6a86b77-ff96-4815-8,b74a1413-dff9-4b20-8df5-aaaae006,2
1cc02aa3-d9da-4187-8e04-fc2c4605,65189ca4-8211-47a2-8,c204e500-eef3-4546-a7da-002d2a26,10
f2b32fa2-5af6-41d7-901f-41623c34,ff98e8af-ce74-4fef-9,3621687c-dcdd-4a64-8f07-5395fc38,8
49da987e-239f-41cb-ac14-d59af209,599cc808-2fc2-44a9-b,f86090b2-db2b-41f7-80a2-7785dbc1,3
b939e216-ae8a-4fe3-8e63-6747ae72,3aac9109-8e03-4ec3-b,133b1c15-a83d-4137-95a0-a2be0d9c,6
73ec2e01-a83e-40c2-84a4-fefd5ade,503c6411-7f29-45d0-8,052272db-d091-437f-9945-66121618,10
1bcd8f34-785c-42c0-9b84-5289e036,b69e813d-9b45-4cee-b,ab6a1387-65b9-450e-b5af-17bc415a,5
23685ab9-9974-49c8-aede-e49c2e4f,5794634b-4307-4dd2-8,3e7f67cb-a888-488b-b449-2e6ab841,4
9ad0e1d4-4674-45c5-a286-5021f404,3b9f9b10-beb0-42b8-b,30e988a9-132e-465e-bb78-2cf727ec,4
ad9baa94-bb84-4947-bb01-ca975985,1784e449-56d0-49b2-b,e4c8b9f1-2e4a-4d49-8554-dcc08343,9
6293e3c5-2729-43a9-af59-abafcbc8,9e8eb326-cc51-4ef2-8,3e146c19-b9eb-4725-abfe-3a1890e3,6
f649b759-78b8-4397-979f-be8ad248,f2ee44c5-a472-4afd-b,cce78fc6-0bb9-488e-aaf3-b62ef8d1,6
7e27986f-3691-4f5e-9a32-bb3d0c9b,5996bdbe-19e2-4511-9,dd6e813d-e5b9-42fc-be1c-f1cd571f,10
fe9e2700-9bda-4410-b74f-fdb1880d,43c8c0c3-b7da-4afa-b,d20db610-72e8-4c6f-8214-507cb354,6
7596db7c-db9b-4902-a94c-0333628a,ffdaf67d-2a2f-44c4-a,41487497-4866-47a2-92a1-70bd63e3,4
54449b66-d068-4a1f-b549-ea4cbdbf,38aa191c-db4e-423a-b,f99762d7-1321-45a4-8047-256f77a6,10
7e71395f-57ca-4de1-9d1c-5d5b7e70,0f65f310-d178-4fb8-b,a3ed8861-0f74-4047-a360-f970617a,4
f16a3aa8-0d71-4eec-9be2-1ddf4333,7750bb99-753c-47ba-9,c5088e64-063d-4015-8c1b-7bc66ec6,6
d30734d4-9bb9-47d6-b939-1dc85704,a5445cad-d308-49f0-9,1311c38a-b1d0-4958-8aae-0c9b78cb,7
a370171e-1e39-4ce2-903d-0c6d20cb,d84a464c-f692-4ac0-9,91883589-fcb7-4ab5-b62a-26bb513c,8
8a664156-df5a-4651-917d-e1961809,066a82f7-e458-4ed3-b,3992ef6e-69e2-4d96-a730-be490a65,1
44aa0899-b5fe-4413-bd0c-22193e17,8d623841-2c45-4db0-8,a422fa9d-6a39-4635-ab04-6bb35377,8
db917ddf-29a9-4ff2-ac20-23bc7067,3933002c-3df8-4374-b,62d76354-77ca-4bcc-a6d6-2c1a2d35,5
495fe7ac-a15b-4322-8d84-f73c553d,41a181a1-0870-4f19-8,266f1a8f-5854-4fca-bad5-34e6f587,9
09aba86d-23ae-45ef-850d-14883acf,b4c58c7e-4d4d-4fd8-a,569e7bec-feeb-460a-b215-8c7c2b9b,8
c2e396e4-0531-4045-9bfe-a82596cb,db1a1ab1-cc06-44e9-b,0e211679-45a2-44b2-b291-383c53b2,6
d7b13e27-17e7-4ac2-8ef9-6bb61bb1,99af9543-9664-4f10-9,bf172f8d-4cd8-47b2-9974-5e480abc,8
e63b7425-6bbc-4dc6-a130-736b3d4e,05bd5e28-6ac3-4218-a,1ad555ab-4f7b-4aa9-9856-cd622003,9
169c5549-b543-4364-8691-77b8b652,a7cbee02-7ffe-4834-a,abbd6635-1404-4605-8905-380ad862,9
17f39934-4d0f-4f6c-89a6-377ac423,27acf905-6840-40b8-b,80d1601c-6d60-4283-a53f-dbe830d7,5
451d14e6-7c38-47c7-a9e2-18c73e8b,7dac3c8c-c726-4efa-b,9c5278c2-50ca-4dc0-a900-97413a8f,8
1cc93a8e-117a-44eb-918b-49ce05fc,48843e68-9e53-4c38-b,c1f9ff61-d820-4bf5-9d4a-58adcda1,10
5113cec7-b95f-48e7-88c0-25d47b5a,8baeb660-75e8-46ff-a,168c69cc-f47d-4f82-a493-771c4b83,4
e20843f8-2d0c-4faa-899d-ab72cf18,15de11b4-b5b1-4665-b,75b4e0b7-5b16-4527-9fae-326a6d7a,7
2d872e32-2d6c-434c-80c4-0886eab3,93b933fb-5769-4930-b,24f188c5-ea08-462b-a213-0cf8380e,2
20a5d715-7d67-4c18-87d2-659127c3,d6c9f5e1-501e-41e9-a,cac1732b-8150-4d4c-98fd-d84ca1cc,9
627a08b8-b29e-4cbb-9a04-c325a37e,7bb266d9-607a-48b4-8,0550e988-22d2-4e2e-9c30-bde1e141,6
20560371-a2a0-4046-8ab5-13928f90,ad8b0e57-6dc8-4ecf-8,5dc7ea94-df9d-4a7c-9b2a-f129d0d1,7
a6932631-5cdb-4324-8afc-0ce2e013,a38fca83-e00b-46fa-9,e2613464-b8ee-4b88-a571-dda43ae4,7
b68732f8-ed79-44f5-b678-53203e63,f70ece0b-0d8e-41c8-9,6ba6b2f9-3327-4688-88e0-56f8f125,6
3fe6c713-ba5e-4191-96b3-75f486a0,ac1c5d2a-b665-4c27-8,328b0f31-2b75-44be-ba77-4342d21c,5
325b3632-ea81-4a00-9dad-24ad4f1a,7fa5b252-e68d-4eda-8,6e41053d-78f5-45e4-b5b3-7d759bd6,8
318ff636-3239-4d4e-8cf2-36dd0109,cd2ba9ba-670f-4c56-8,d0debf67-37ea-4c0d-b9fd-a50a841e,3
5d165fd6-0394-463c-aa36-b57e8d6f,ac447e21-031e-4f15-b,121352cb-314f-476f-8c89-3b0d183e,2
8a66d382-8227-417a-8d3a-21dc989b,ebaa9164-cc52-44ba-8,6054a45c-30a7-4e27-a0f2-b8841b98,7
b9f9220a-a345-4239-bd4d-2458ce2a,3054b715-e576-4288-8,3f047f5f-022d-47f5-8fdb-2a05283d,4
e091397f-06dd-4f18-aaef-a7058bf3,7bb1f182-10fc-41e8-8,91035edb-8965-4685-a7bf-be628407,5
dadd4b79-5fdd-4da5-9f3a-06342be4,665dc750-d2a8-4bef-9,f051c669-cb1e-4e38-8a3b-2666f662,4
5ac5e7ec-34bf-4b21-900d-8041fb29,da67894a-183b-45ce-8,c34be7a7-d7fb-4a63-9e56-ebb488d1,8
4641f91c-c434-47fa-8ebc-5056fed7,917b5d1a-178c-496e-8,6f2e93c2-a288-4d61-98fd-b10e0cd5,7
