inventory_id,branch_id,menu_item_id,quantity
5c66a865-4f0e-42b0-a,3,ad5995e1-1f21-4199-b864-62b301d9,497
ac4833e3-0593-4e9a-a,4,f2009227-088f-4293-aa79-402c9d54,870
ff7b9ceb-40a3-4839-9,4,9d2c4b24-d2e4-417c-a268-358992d6,273
434adc31-5b81-4d90-a,3,61fd11bf-226e-4792-82ba-4ec9b96b,330
90cfe528-e057-4948-9,3,f87fcc3e-bf92-49e0-a643-98b9f42d,172
080602c9-c027-489d-9,2,db15f1ca-f58e-4f61-96b7-19a417cb,447
b36f4801-f3f4-4e98-a,2,cd6a9033-97bd-4fa2-b453-44da5e4a,279
dc20416d-25a0-4cba-9,1,1fcf0d42-4500-47cc-bdf2-08c7c10c,719
6b48d079-a7ef-457c-b,4,a93b8472-58d9-4926-a6c7-6b070a2f,479
c3a465e2-3c74-4e6f-8,1,70a6cd02-30b3-4310-a270-27883a56,962
0d4a4226-bbb8-45ab-b,1,cf524a19-906a-4b5a-9df3-e098f2cf,267
f73857c2-a412-4d06-b,4,e297dbcf-6089-47b5-b87c-3487335e,857
a77bb3fb-4812-4461-8,4,07337d4e-480d-4c0c-89a8-a6ac5bb1,148
0081822c-a199-4638-b,4,fa2f9204-1d80-4f4d-9bc4-77d998e0,895
af2cf5fe-1572-4698-b,4,09b6dfdd-82af-4e79-ac51-49e95fbb,153
682032de-d532-4aba-a,3,52ca433b-59c5-4be7-b282-c50f2dbe,463
d5475da1-9c1f-49dd-a,3,85c0c3b6-dfe0-426c-9e71-61d9d442,620
a34814f2-856f-4648-8,3,194b3073-2bcf-4df4-bcbc-36fa9193,374
1e0f644d-f6b6-4462-a,4,94b466a3-cdf6-4929-b786-1dd5814d,952
4fe390b3-a9f3-4098-a,3,5408dc7b-534f-4900-b59d-9859df85,747
9ebc98c8-e13f-4ab6-a,1,2fc31424-b3fa-4443-9b23-77592afe,468
cd2fde96-d306-4996-8,4,2aecac31-d234-4cb6-82ff-cc81756b,962
43570afa-0cdb-432c-a,2,642698a1-73e2-454c-8d49-e2991d10,142
49513d06-bb83-4b55-9,3,127528bf-163c-4f86-86ed-38d8777b,829
d48e68d2-1327-43a1-a,4,23f54cdc-68ab-4e30-9141-5016dcad,171
9767f3ae-464a-4157-a,3,2e7a46a3-4e6f-40a8-8230-5c0a568c,933
f1a52658-c2e8-4a59-b,2,edc0a72f-dfb6-4b14-bdb0-9ad0eaf9,830
27190a77-a5ee-42c7-b,2,cda613a7-c523-4994-bcef-b9b941da,145
f1af63e3-9807-41cd-9,3,14e84577-165f-47d9-aa54-e15d43df,858
30a4c7ab-f18b-4a45-9,3,144debf1-84ea-4ab7-8455-c73198c7,428
2bf44c76-59cb-4e55-9,3,f7062630-e1e1-4035-97af-bb7fb395,358
1830947c-ce1e-40c2-8,1,04e99e77-be26-4834-bd51-4e40d8f5,23
3d7f13cd-ae3b-4043-b,4,1ee073d2-277e-4671-b11e-1ebf4819,620
ccb03111-90ca-4567-b,4,d647f4d7-9317-4f04-9c7c-e8b73bc9,884
68120f60-e2a8-40e6-a,2,401fbfa0-1376-4954-8a0a-632a5e7d,531
fda3d1a4-a733-4fab-b,1,54331d54-3916-45ad-a780-de780bfe,980
fbc393bc-7f76-4c7a-b,2,222ecca9-b696-41af-8cec-e23b438f,682
8d567111-dca7-450c-9,1,036e71d7-9970-4dce-9407-1d992c97,173
7cf0036a-62ad-4ecc-b,4,dedda5ae-c275-4bc8-acfd-208c1a18,585
a0b8dbcd-4266-42f7-9,4,1ad86475-352c-4220-aadc-7b1bf8ab,724
3e4eea6b-0c6d-49a6-b,4,cd5f4626-db01-4c67-802a-09aa374a,106
33f6e08e-ba37-4841-b,1,94e99eda-38a2-490d-8520-a8fa9f69,61
c4d6910f-e076-493d-8,3,d8fd163b-0764-450a-8c5f-162167da,820
a3356955-5d07-46fe-8,4,353ff4f1-bf69-4672-ac5a-832ebb6a,654
d5401e5d-9f31-4848-a,1,a8d43352-576a-47da-bdf7-c273f5e7,598
2f926a47-d296-412a-a,4,16c7a707-97f9-439d-aff2-ef8c39e2,688
74d6727a-97df-4e37-a,2,a8f7249f-6656-4aa6-9598-bf4359ec,234
fbcce5e7-5faf-4249-b,3,1c130ae5-2a71-47da-bce3-7b222dd9,179
c1625068-f677-40e1-9,2,f1d4f946-58e8-4ec0-8db8-a8f2b9ed,534
ab4d0c53-f73a-4339-b,1,efc11973-fae8-42a1-ab5c-ea801c20,614
ceb935f8-71f7-4bfc-9,2,f7736bf6-ac7f-4f8f-b862-acde7b1c,236
1d0e0a8e-1b48-4a7a-b,2,55bb587a-cd03-4a27-8246-48a57615,815
d85e9fe8-d7be-4721-8,1,8d798e01-565f-4a79-8fe5-5dc5e022,234
d37bcbc9-1bf5-45e8-a,2,1b56314f-6d5e-4afb-b4de-d22e7d23,378
f2967bc1-59bd-4830-b,1,a6804acc-52a5-4454-89c9-c5115f5e,427
9133c00c-1ea8-42fc-a,4,46d12899-44e2-4851-ab50-26f6a70c,493
d35a8c66-bce7-4688-8,4,9306357c-7118-458c-a7f1-970c2887,652
6d5d67f9-9388-4c0a-9,1,2d5f5ff4-74be-436d-8b8a-3c453fcf,445
8ba95d08-df56-41f4-a,1,2f7230a4-e217-4f1c-82b7-5cb89a44,235
ee9b814e-a2b3-4049-a,2,57db8684-d0b2-4c5b-810a-2fb61edd,263
2609d7be-93bb-42a7-9,1,e735b5db-1874-4cce-94ad-4ccc8170,205
8af63935-05f5-4b74-8,2,90187f7a-09c3-4b8d-bfcd-973bd6a2,937
16acb47a-a7db-4df6-a,3,ab10b74b-664a-4675-aeff-adb6b7ef,215
1c20f7bf-2a88-4be2-9,3,a16d7d74-8827-4fb5-8e46-6d1fa635,408
04cceed4-0d1a-4231-8,2,6a83c5f8-89ea-48b0-a171-02dd2aac,301
62fba5b1-5616-4a86-b,1,e92c021b-b7e9-4035-a232-54a5d19b,389
163b99f0-48db-46ba-b,3,fa61af6e-9dcd-407f-a073-80dc8c95,828
05d38ab6-a638-4dd8-8,3,43ba7428-a201-4cba-93b2-8a817460,920
5a5b0043-c523-4c83-a,4,ceacb074-a2d7-4e6f-8c46-6fd3b0b6,880
338c1444-9f3c-48af-a,4,800d40e8-5998-4c9e-838c-b7fda402,859
009d837a-1b5e-4113-9,1,20808cf2-c673-4f6b-8f7f-346b8087,501
c1051eb0-625c-4d6e-8,4,7e880948-2ae4-4ccc-8829-1625603f,81
301b1422-c84b-4bdd-a,1,bfafaf3b-8247-4c93-86ec-0710974b,997
08fc9b39-f538-401f-a,1,1a92e29c-70c2-4d8a-a78f-d5cc146c,336
452fdf57-0402-41f7-b,2,fe518bc9-a20d-47fe-9615-0edec1a2,499
412f2ecc-9283-4377-a,2,83ce4d74-f8ba-40b4-999f-28b2f839,933
33a79710-0f1d-473f-9,1,a902a456-7e91-460c-8641-9e9f8e7d,870
7cc106d5-085c-421b-a,3,eb859dba-7d7f-4cb3-9a0f-e1bdcf2b,347
8931e790-1722-4ef8-8,1,d6dd59a9-74f3-4aef-af91-9e16d72d,238
6866f68b-29a1-4757-9,2,9cad4695-e875-4452-88af-9a3691c2,996
d01dbec8-241a-4b7d-8,1,5bfbd374-0ae0-4b73-bf9a-216d6ec4,179
bda3900f-9910-4f50-8,2,2f930782-6a46-4a28-9e7d-c5b1423f,598
625438c3-c0bd-447e-a,1,5f1d2cf7-f407-418a-b717-2bef27ff,612
30e4532c-30b9-4765-a,2,bbff447e-0679-40a6-b733-26dcaa88,474
c28175b9-3478-4300-a,1,284eecda-304a-4006-a875-d4c34a95,363
9f3b35b3-9fdd-4882-b,2,23a09474-19cf-46c6-b6f1-86c18775,402
9269ea7c-9971-483b-8,1,dca0b27e-8ae8-4e08-8fc7-da0f48a9,994
97756f74-a060-4af7-a,4,4204c6f6-98c3-4a69-87cb-114bea0e,189
88b4b97b-fc72-4577-a,1,82fcd62d-89a8-4a66-a943-6cbaadf8,355
45e2b749-3464-4a4e-8,3,ec0b67a8-ba5d-439d-9809-099f09c0,190
c752579f-fd5f-4c23-9,1,cfc46518-46f7-4e09-b88c-aaf73048,319
872d14ec-b183-4c8a-9,1,b5968b0a-86f3-47b1-acb4-5cbde488,559
3b7f3d52-47d4-4d51-8,3,fe04ace4-3b79-4b29-9545-fb963298,330
e194e5d1-a8dd-4e1a-8,2,20018dad-a8c4-4ab5-aa5f-3b729c32,221
7951b654-78bf-46f9-a,3,9cebc9c5-1d8a-46fd-9126-a089ca90,772
394a3687-f062-4077-9,1,ad8b9236-e1c4-4aee-9e2b-b86d7d14,270
7d5c6b5f-1321-4a13-9,2,b650b276-ba5c-4f03-bbb1-73323252,989
9e7a407d-d8df-4fe6-8,2,7500d9c4-ff95-4545-b787-44e1e3fd,609
bc770c48-e2d4-4e48-8,1,c5a6ea70-6826-485d-9dff-e16527a3,563
b8c7978a-5c0c-4e24-9,4,a589639e-a11b-45e6-8d89-b30557f6,863
4b99e5f0-29ee-49ff-9,1,0dd3ccfd-44ed-4405-bb08-a458d564,886
1769649c-529d-4863-b,1,0ee19f53-6f76-45bc-89f9-e167ff13,63
307061c2-51c5-4d92-a,1,314e293d-e887-4ac3-b43f-c6a64cb3,645
ebc33aef-c489-4e92-b,4,373798e0-a1ad-4311-aba8-80380bbf,778
f9218c06-f9d1-444c-b,4,803618c5-db06-420f-8c14-db0b2f6d,336
d6f781d0-06ae-4456-a,3,5b571a1c-97ed-40fe-8289-03e5b62c,346
3e101c3c-413e-42bf-9,2,91883589-fcb7-4ab5-b62a-26bb513c,595
4ab29806-be20-4c9e-b,3,7138e94f-48fb-4a8b-bfc3-0fda9606,376
08929155-5366-4bd4-9,1,a46955bc-223e-4e71-836b-25cdad6e,878
433dde08-48a7-4163-8,3,bb54fa39-c05a-4f71-aaad-b44b8a9f,410
1f05aa28-a1a9-4058-9,1,a21354e9-348c-410a-9df6-bac194d1,570
24c4af7e-9397-4a51-a,2,2b10f118-9039-44a8-8cfa-b1b3cc32,930
1b35e17f-4646-45ce-b,4,75bd798d-d728-43ab-acf9-d28e717c,559
62ff4af6-1cd9-4f49-9,3,2f9fff97-f6ab-49e6-8a89-a0f6e2dc,182
69077710-2c75-43de-9,1,9dd7e70b-0004-4aec-aea0-118b1ec2,762
847d00f0-cc83-430c-9,2,0fc5abe5-a1fb-4863-8238-b74c9d38,886
551135f6-f6c8-416b-b,1,b5b5d768-7100-4aa2-b542-ff1c8399,616
94929304-1218-48b0-a,3,a8a81324-09f9-4e0c-be78-3d4e3d7c,183
15392d66-8554-451e-a,2,8e80d1b0-1148-4e3f-87a9-5388428c,526
096f453e-d780-4779-a,1,465a0b42-9321-431f-87ba-da7d355a,386
4754f18b-2d8a-4ba4-9,4,231da77c-7110-431f-903c-f3bc9803,797
2e2c19a8-223e-4471-8,3,f4e75d0b-dc93-4492-9bb2-4ff1f74b,529
7abdbc12-4742-4aab-a,3,b9e01c3d-5167-44d6-bc26-54220fed,766
89697c38-8d6d-4116-8,1,9d036a8a-b67b-48a7-ae74-54780c66,404
91c9753a-fd33-4a62-b,3,4c2613e9-b2b3-45cd-8d90-1632866f,106
e8fc6546-d0bc-40aa-9,4,2922629a-2c33-46ed-be66-cac473d0,804
82b7b715-d3eb-4c4d-9,4,ab5f120b-9dd4-4044-bd0e-ad510e86,229
af88079d-f433-4eaf-8,1,3a8a1b88-4152-4a9c-9e4c-f5be349b,954
d8f144bb-5a95-4e07-a,2,99b70869-654e-4765-85ef-c216dbe0,278
663267e0-9d44-4f10-9,1,19968240-cf3a-4e32-9e0b-9883b059,794
6a91e8a5-810a-495a-a,4,1de00006-f71a-41f7-9f27-ceac831a,379
0a9970c8-fe3f-47d1-8,4,48f34344-d942-4463-a481-c969356f,13
709dc612-b0d3-46aa-8,4,7c7e43d4-986c-4ab0-9d72-76872797,692
c64663a6-8204-45d8-8,4,85547135-7b03-4b4d-95d8-24e1dd94,394
198e1f63-cf54-4217-9,1,71b48f3c-4d21-4130-bd78-05625660,196
7ecf0cc3-6711-41d6-b,2,60b59160-0a26-4b6c-bf1a-f3cfed5b,653
283ef272-6fa9-470b-9,2,4e5145c1-506d-4128-96a5-f1e8bb88,270
d36c6730-2844-48df-b,3,b87a73db-cc01-4982-8b1b-a62e5df8,264
56e3f27b-c178-4f3b-9,2,65973754-a3d9-4305-bdbf-fe2f997a,224
617d0395-3c3f-42b6-8,4,767bb086-ea90-402d-a03a-b2582a57,716
60ecb249-c0c3-496e-9,3,3383dd52-fde8-44bc-b2de-21142194,555
4c290b19-5ed4-4d31-9,2,a8f7249f-6656-4aa6-9598-bf4359ec,191
45a596a2-f93a-4ee0-9,4,7c8210aa-3487-4b58-ab46-232bafc3,150
1c7e6f0c-9b6f-4c51-9,3,fd85b5b7-6ece-4fbf-83d8-1c548706,328
2d72f60a-ccb3-46fa-9,3,dc4df095-e890-4978-bba9-7e8ad499,625
abf885da-0df1-4f0f-b,1,98355a15-e5ae-4296-887f-da45644c,708
06d3671c-5e1e-4256-b,2,980dff1d-5250-4a39-8fd7-bc3e5e6b,7
d755e5cc-f69d-4131-b,1,9dbcebbb-297f-407f-a12c-5d2b465e,57
a50b299c-b18c-467e-8,4,160f3674-b624-404e-bd63-9ac42491,497
78534855-a015-4b8b-8,1,bcf9fc94-a98b-4924-9279-14e5c8cd,380
2a12c938-a2e8-4405-b,3,2354a6e0-55e6-4d9c-977d-a5fc1d1d,220
5868fd70-01f7-4ff7-8,1,e7f563a3-1e95-47ec-a696-62cc0b11,165
76f9c662-de5d-4a8a-a,3,f912cf2f-998d-4f17-8430-567743c8,524
8da2ff25-cb49-4904-9,1,1e861ecb-f2f9-45f3-9a28-af6cc30f,286
18101ad2-21e7-444a-9,1,0a09ebee-7951-44ef-9b7a-a052285f,240
a1fbdc8f-1171-4215-b,1,36207906-dc0c-462f-9065-2ebb507a,707
1b8bd086-2553-4251-a,2,720f8a97-9c8a-4ec7-845a-420e7781,659
986d58e2-109b-4308-9,4,fb810926-e660-4677-ad0b-bbe51399,663
a342745a-d669-4806-a,4,67aa24f7-194b-4dac-b9dc-bf4e77c4,226
0e7e1024-c80f-416c-a,2,32eafd5a-ec56-410e-b6e8-693036c2,314
035c301a-0748-4580-8,3,9bc306a9-b993-475d-bf1e-68b5db77,675
93762d64-9f0d-40a0-8,3,d9640553-1cfa-40fa-8630-7eaffd75,53
8e697c2e-1fac-456b-b,4,9d213bde-b19a-4ab6-81c6-3ae17201,904
5ee2bd05-ba9e-4a24-8,3,68cf4abc-4376-4cf2-b029-a022eb11,702
ee6c2137-af4c-4cec-a,4,7d22539d-d3a7-49d5-8056-dd9b876d,112
f3260f12-e597-4518-9,1,1a2a10b4-e6a6-4234-ae5f-f8743863,757
27c4b9bf-9192-4250-a,2,6106682a-96a4-463e-ba13-8e441828,103
8de09205-c015-4ca3-b,3,baba6594-f5d5-4997-b979-a2903901,662
171c53d9-5a55-41c1-8,1,9a3252df-efcd-4803-b35a-e08084e0,253
33691160-9a54-4121-b,1,2d8fd23d-0234-4a71-ac47-2d5fc952,880
02f48263-e14e-4840-b,4,59f86e10-4fac-4109-8b31-8b171d12,561
2cabb83f-8e68-4f20-b,2,774db82a-76da-4a23-b593-cda2def1,532
486d702a-84e7-4de7-9,4,61402583-3542-436f-912d-abba8133,768
c68f3717-1fb7-414f-8,4,2652757f-7936-4bcb-a519-2715b60e,110
ad62b81b-c3e3-43f6-b,2,2a931c33-ef65-415e-9ede-40d9fd14,633
e72f5000-4b38-4b83-a,2,b6f12549-0a4c-4864-977a-e21844ef,506
247e34f7-e04a-4904-a,2,c1606eb6-afe0-45f3-ac12-20b47103,149
fc1b28f9-7ac3-4809-a,2,996606cf-4584-4fa8-96f4-2c159c76,212
6a80f55d-20cb-4b8f-9,4,90bcd05e-171a-47a6-b2bb-e1c26727,311
59dd85c3-ed5b-4ac2-b,3,0e761311-0a40-47d4-993c-0c9fe0a1,589
92ddfb2f-710f-45d0-a,1,f2202d9f-bad1-4bbe-9343-bccd597a,496
a1ad1682-d59f-42d4-a,3,33267fbd-ccd1-4002-a1aa-c51df13c,439
e0ca6555-9638-4baf-b,1,67b5d39b-1b3a-4e8e-adbb-eb098848,177
d6a61c92-271f-43e7-8,3,0da1e30d-3cf9-48b7-b46c-a47743e8,15
e3ce9f1c-b6fd-4e04-a,2,ab16c79a-2076-4ca2-ba7c-0194cdcb,430
00b70df2-e4e9-4efc-9,4,dca0b27e-8ae8-4e08-8fc7-da0f48a9,877
f5097fe4-9d2f-4feb-9,2,f7734ee5-31c3-4722-8ca4-53642ba9,512
a80c2f95-6ca5-4c10-a,2,af9f4730-4ca3-48d8-858d-fe2d8589,746
1de76368-e847-47ff-a,1,d5f77172-87a9-44d2-8267-1f376a53,383
99ad221d-6d47-4873-9,1,b6d82908-86a2-428b-9670-db3e26dc,225
58035a8c-5ece-4636-9,4,c5ef8d85-c987-4089-baea-d0d68a0f,719
c1882878-e7d4-4693-a,3,f750207a-0240-4806-b5a7-407b2f6d,617
00963922-378d-4935-8,3,ff748d04-d68f-4f5f-abd2-404514fd,485
ae1ea421-9b93-43f2-a,4,3869755f-1710-4669-bdc0-9120c70e,689
aa513c59-b453-4554-b,3,3f8f7c37-3961-40c7-903f-27780a43,835
745ce487-24ef-4fc9-8,2,1220887c-ea8a-4db7-8b0e-09b0e834,994
d2282eb5-88d6-4703-a,2,1def26fc-cb64-41ff-a66a-4d48c924,751
52c3f1e8-4766-441b-b,1,3798cd2b-ce32-491f-906f-8dfb2b6c,460
b1e0400d-0c39-42c9-b,3,77b6b1da-3817-431d-aea0-6fc75133,251
ac6ab7d1-4c84-456f-b,2,998ddeb8-c10c-41a7-ac62-4f90f383,514
caca7e30-345a-448a-a,1,9a0e8fd6-f8a0-49fa-bc3b-5811023d,392
e5c4de93-504b-4155-8,4,d857c5da-a378-4378-93ff-b7da1ebc,45
46d9a678-8ecf-4fb9-9,4,f0caf7f9-8d26-4ef4-a5d4-dd7223f9,366
48629a0e-5d0a-4960-b,3,485dbf88-6903-48a0-acba-dea81acc,527
58294a51-81e7-4931-a,1,1d33607c-0408-42cd-b07c-33b7cab3,469
7da700ee-bf9d-4c79-b,2,3cdc4043-6fa8-4522-9cc4-3a2a4a6b,857
db33e570-974a-4538-8,3,fe19d8d4-79fb-40e8-a963-56fd4cc8,356
6ae972c4-21a1-493b-8,2,d7f59fa8-e1b2-4275-a043-7d74dd26,312
f418f2f2-1388-46b7-9,2,892be43e-9d91-499b-a287-cee778b4,979
206b9743-ca3c-4651-a,2,4f2d5fcc-0a43-432d-9b3f-9f82bc5d,566
8e634590-8b78-4421-b,3,2129a93d-5fb4-4407-a2cf-f81f52f2,740
e8868887-0439-4ff8-9,4,94a8f42a-8df8-4855-83eb-22998aae,544
b53e2d3e-3b5f-4f37-a,3,c2a14d77-bc9f-4431-ac59-cee2c1aa,382
997d0310-88d1-46ce-b,4,3f43d8ba-113d-4b36-a768-c8ce4e69,868
bd4907e5-fad3-473c-a,2,10276f9a-6d6e-4b5c-a8dc-2e4050e0,525
9d2ef0f2-c295-495b-b,2,711b8868-761e-4e1d-9196-b0be8db8,810
f3df4348-77da-491a-a,2,056b8559-e15e-4578-9b7c-a8deb94f,291
3c38607f-9b02-4e80-b,4,9df28a11-ce3b-422e-80eb-bf1af6c0,103
5d05f716-2b2c-4fda-b,3,4b33d46a-982e-43e0-a660-b2ff7051,260
2bdac037-0a2c-48a4-b,3,cb5841ab-abfe-4b93-a3cd-31077dc4,131
a69d33ed-2cd7-4fbb-b,2,06c2c457-9650-4990-bfd0-863f5715,888
1e588a70-5d75-47ff-b,1,6e8df699-dd6b-4b19-8ba1-eba5ae25,117
21a37ea4-0a4b-47bf-9,3,0e6de427-1ed6-447a-ae59-3b6d6118,425
0b97ca24-3268-4cfc-8,2,e1097eda-385d-4514-b80b-a7dc3da3,385
a4b65999-14ff-4f21-a,3,75eac8f2-1c14-422a-8439-c4b82a14,995
bea7b662-a226-4e4d-8,4,b9212f5e-821a-4809-b49b-59c15cf3,350
53b70de1-218d-447e-a,3,cc8eee9d-60ee-4174-9248-622adaec,236
03c525c4-08cf-4e9c-9,3,73e5a0e0-9c89-4f39-b6e6-7812eeec,61
64171879-89ba-4120-9,4,dba7b94a-0039-40cd-9353-035953d9,680
730af64b-f878-412c-9,2,4c13c0c0-7e3f-4b24-a208-16601b86,362
2d4b3eb2-cf30-423f-8,2,40551288-0b39-4fc3-8c48-fe1a6303,216
5c04e1db-eb89-426b-a,2,1b90f602-614b-47f2-b683-7e645d72,423
97e3b420-7fed-42c5-b,3,b0c0ec76-e7ab-427c-893c-d05df481,39
869a396a-b335-4497-9,1,9260ebd2-785b-4712-bff9-7821daad,98
bc72c99a-2919-4f1e-a,1,3dfbe573-3b7e-43fd-bf14-f01218eb,472
1c7be4a1-faea-46c7-8,4,6221a805-838b-47d3-aff3-14af8771,410
a296293d-5407-475b-8,1,097faa8a-b40b-4454-9673-21343e11,319
