payment_method_id,name
128be6c2-297b-480d-a,Debit Card
67b6a815-af66-439c-9,Online Payments
d8b20d06-70c3-45af-8,Online Payments
fa187f6e-1ee7-422e-b,Cash
d7eaeb52-32b4-4924-a,Cash
2c4fb65c-616c-498f-a,Debit Card
da2b1226-b3c5-4c94-8,Online Payments
4ab4959b-efc5-447d-a,Cash
a720a04d-c6ae-4d72-b,Cash
23a4ea09-2315-479b-9,Debit Card
dfc70441-0074-411c-8,Debit Card
94814aa7-fa8d-42f0-b,Cash
56337def-c54f-4e01-a,Online Payments
5da29b03-caff-4433-8,Debit Card
68899496-ba1f-42ca-b,Cash
a96e1f71-296f-40ef-a,Online Payments
7c4d1fec-13ab-447c-b,Debit Card
dd47620d-0e08-4a5f-a,Online Payments
9d11619c-0c69-4998-9,Debit Card
37141ab4-e20f-454d-9,Debit Card
609f0442-33ff-46dd-8,Cash
87b4dd16-37e0-4d13-b,Debit Card
7cfa38ac-b093-45a6-b,Cash
8a36f52b-afc2-47d2-b,Debit Card
413ea461-abc4-4029-a,Debit Card
2c5a279c-3b33-470d-a,Online Payments
11d28a6e-8cdd-4cab-9,Cash
5d698609-b394-4f5f-9,Cash
f956278f-b2f9-4063-b,Online Payments
0c90f361-d9f0-481c-a,Online Payments
f7c2eb9f-7a15-4907-8,Online Payments
00969f8a-da70-4187-b,Debit Card
cd6b3f46-e0d3-4aff-9,Online Payments
f6c76551-49c4-41b8-9,Online Payments
b9099cb7-266c-4633-b,Cash
97732ddc-7839-4e68-a,Online Payments
b3715b3b-2571-49fb-9,Debit Card
81670826-bd06-4741-8,Cash
a09d42c5-f41d-4f1d-a,Cash
12a35fcf-dc14-469a-8,Online Payments
273185e3-45f2-4ef3-9,Debit Card
1a901297-2b5e-45e9-a,Cash
6204d904-a488-4f30-9,Debit Card
7f0bc222-e2d2-49b2-a,Cash
929ccef6-e3ae-40bb-8,Online Payments
c8f752f3-6a86-46ad-9,Online Payments
e75ed9a8-f20c-4d88-9,Cash
02b5d536-c986-4162-8,Online Payments
19b0442d-6b47-460c-b,Online Payments
7eecfc94-461e-47c7-9,Debit Card
84c97b54-a7f8-48b0-b,Cash
bf72aae4-41df-4268-a,Online Payments
7eaa5677-2b8d-4128-a,Online Payments
53af52bd-605a-4f63-8,Online Payments
21ff171f-e79c-4fda-9,Cash
3a305b6e-ac75-4be9-b,Online Payments
3bee24bf-bb65-4fa5-b,Debit Card
4adf3a45-2ff4-411a-b,Debit Card
bbfd2b43-6443-44fd-b,Debit Card
82f45d07-9d39-4c28-a,Cash
02920a3f-183e-4e97-a,Debit Card
3b854f3f-f990-4945-b,Online Payments
89072366-7aa8-4312-b,Cash
1854e2d7-4d4d-4c47-b,Debit Card
a5ac61de-bbfb-4004-8,Online Payments
82748011-1872-4a1e-b,Cash
e7ffd7d5-f518-4b16-a,Online Payments
6ced0888-0b98-47d1-9,Cash
b831f20b-d286-4720-a,Cash
4c6b1f16-9574-4922-b,Debit Card
958c995a-47e3-46bb-a,Online Payments
49688e10-c381-43c5-8,Online Payments
a5a0a73e-a632-4b74-9,Online Payments
4c775d03-b251-43b5-a,Debit Card
532d75ca-cc12-4bf0-a,Debit Card
6d153b55-70af-42d1-8,Online Payments
e473966c-b7cd-49be-9,Cash
807c82e9-a5e8-4999-b,Online Payments
d8d1fb06-4efb-45ed-b,Online Payments
c1abd5c3-bca8-40a2-9,Cash
56d76b75-54cb-4aea-9,Debit Card
2b94cf14-ea70-405b-9,Cash
9365af06-b3aa-4712-a,Online Payments
858c8229-d54c-4d07-9,Online Payments
f9f60aa0-ffea-4752-a,Cash
92fe571f-9510-4735-b,Online Payments
4177b458-2ad8-4fc4-b,Online Payments
fad9084b-c05d-42e5-a,Debit Card
26540fce-47d8-4ecd-a,Online Payments
87652a84-57bc-4e08-9,Cash
81a95eca-0fca-4eb2-a,Online Payments
008994e3-c5d7-4472-b,Online Payments
6921b627-044c-4974-8,Debit Card
9dac34e2-860d-46a5-a,Online Payments
dc6360b9-b901-4e71-9,Online Payments
3b63de8c-0552-46c1-a,Debit Card
86fc0e00-8eab-4619-b,Online Payments
587fbd5a-9862-4d2a-a,Cash
0003a360-8898-4567-b,Debit Card
66c5ad67-2a7a-41db-b,Online Payments
4d8f638b-a5f3-4e46-a,Debit Card
7010b421-a751-4939-8,Cash
3472cf0c-f941-495b-8,Cash
c1442fe4-a148-4a23-a,Debit Card
c85060cb-fa27-494b-b,Cash
21adac4b-eaae-40ea-a,Debit Card
d46679a6-cd0b-46a5-9,Cash
ac69142c-46a0-4413-b,Cash
f4ed3cac-31d0-4fb0-9,Online Payments
9438a814-6f04-41c5-8,Debit Card
85e493bc-8950-4105-b,Online Payments
96c4c48e-360f-4334-8,Online Payments
4f9ceac7-5034-480d-b,Online Payments
e1c12e26-0448-42cc-a,Debit Card
bf6b6a44-2c6e-4761-a,Online Payments
fd1d2367-c482-4a14-9,Cash
3e45afc7-36c7-4210-a,Online Payments
14711ec1-ed44-4a13-a,Cash
50731727-71d1-4212-9,Debit Card
6ddd1d09-db7d-4aa2-b,Cash
3979fd85-f3b4-4d47-9,Debit Card
3cdac6eb-6623-43f6-a,Cash
ad2de625-4b3e-49a0-b,Debit Card
24051d3f-947b-4261-b,Online Payments
4ad73b25-2bba-40e4-a,Debit Card
7f05b00c-3622-4b56-9,Cash
42b85518-ba7a-4a88-a,Cash
0d6ac94c-aded-4d95-9,Cash
5399fa03-ba9c-4306-a,Debit Card
36fd836b-f677-4c78-b,Debit Card
1e613ba1-84e2-43bf-a,Online Payments
563d8714-d8a3-4d49-a,Cash
e9cd07f1-888e-428e-9,Debit Card
201b7ad8-76e8-4470-8,Online Payments
faab673a-80ec-41e3-9,Cash
cccd7aee-9cab-46e4-a,Debit Card
4f449352-26ae-4460-9,Debit Card
ef2eca87-0cad-4bcf-a,Cash
2464ecb8-00ce-4e61-8,Online Payments
3f4f0549-11f7-420d-8,Cash
495f2456-6d97-44de-a,Online Payments
bd70bef2-0304-43d4-9,Debit Card
1f9b7f07-ca2b-44ff-b,Cash
33d2abe6-1a00-4156-9,Debit Card
bab34ba9-5fff-453f-a,Debit Card
8dca30f5-5de4-484b-8,Online Payments
b4ece742-7877-45da-8,Online Payments
d9d72c5c-34ac-4fd4-8,Online Payments
ae02bce9-ee20-425d-8,Debit Card
2e4a51d6-9792-4664-b,Cash
47eb1601-829c-49d0-a,Debit Card
3849fad1-1b69-468d-a,Online Payments
5ae04c66-1cc6-4193-b,Debit Card
3e11ea69-efba-4adb-a,Online Payments
58b82dc4-3c51-4c2a-a,Online Payments
f54408d0-b19b-4226-a,Cash
592bdd1b-3f30-422a-a,Cash
ab49060c-b65f-4cca-9,Cash
2224d54b-4e14-4bfc-a,Online Payments
89647c76-1ac9-491f-b,Debit Card
ed9950bb-82a4-4d01-9,Debit Card
a1dbaf28-d513-4db5-b,Online Payments
d569fef2-af96-41da-a,Online Payments
72d97ce9-1051-46b0-a,Debit Card
b69a56ac-7465-42e4-8,Online Payments
3427aaf4-9ca0-4a86-b,Online Payments
6a4dcf64-d06f-4cd9-8,Online Payments
c4b3a729-1848-479d-a,Cash
4697ec84-ae1f-4649-b,Cash
912227a8-2bb7-4d38-b,Cash
1cb9f9a5-869a-4daa-8,Online Payments
b1351644-2b83-4822-9,Debit Card
777bbfa4-f3c9-4824-a,Cash
e038e591-46e4-4b08-a,Cash
37fadb3e-2f4a-422a-9,Online Payments
e8a435bd-9a7a-4714-b,Debit Card
546a7c25-9709-44ce-8,Debit Card
fc851c35-8762-45f7-9,Cash
5d68f2c2-6e53-4500-8,Online Payments
162f068d-3768-47ae-9,Debit Card
70695b4f-ca73-4535-b,Debit Card
a9c895f8-e897-4039-b,Online Payments
23f9b0c8-6102-4400-a,Debit Card
0268747e-5270-4d43-a,Online Payments
d79cf7e3-26a0-4e9a-b,Online Payments
fd07c412-796f-4c95-9,Cash
95722db4-04f5-4d1e-9,Online Payments
e87d4e89-5176-4b3a-8,Debit Card
d6e396e6-a407-4894-9,Cash
5a89f8e1-7493-419f-b,Cash
29ec985c-a892-4cc0-a,Online Payments
344124d8-a090-45b4-a,Online Payments
e12864e3-9f9b-4941-b,Online Payments
1255169e-a4bf-451a-8,Cash
78111ced-fb0a-427f-a,Online Payments
d5b4786d-d0f6-45ef-9,Cash
1f00f8af-eeac-4ee6-8,Cash
97173fd0-bcd4-4aa4-8,Online Payments
bd4e0b34-a96b-4a76-9,Debit Card
45056701-8f9c-4df6-a,Cash
e6a57827-eeba-4dd4-9,Online Payments
a99d2e4d-ce21-476a-9,Cash
cbb5e32f-7c80-4158-a,Cash
331ccb51-d1ea-400e-9,Online Payments
ca1b4613-3398-42e6-9,Online Payments
b97ebebe-bd1d-4079-8,Cash
c8679e33-a775-472a-8,Online Payments
39e0c6c8-5361-48f6-b,Online Payments
fd1d68de-1534-4569-8,Debit Card
77fc65a5-6ae2-46cd-8,Online Payments
c1595410-506c-4646-a,Online Payments
5592474e-d35f-4805-a,Cash
6c14020e-7a38-4f2d-a,Debit Card
1151ff29-8025-46e8-a,Cash
70110400-148a-4622-a,Online Payments
50853bd6-a2a7-427f-8,Debit Card
5899f0b4-2054-42fe-8,Cash
8957ad73-24a9-42d1-a,Online Payments
d4d46300-3816-4541-9,Online Payments
a6b40c48-480b-4b4b-b,Cash
56a74961-58af-4a27-b,Cash
c6320d89-fbb1-44a0-b,Debit Card
c9df247b-8a22-4ae0-b,Debit Card
460613a4-c7c8-4455-8,Debit Card
f9aa75d1-cbc8-4b34-8,Online Payments
7301ff87-f221-46af-8,Online Payments
5ae1d23d-16da-440a-a,Cash
c3cf489e-e06f-4835-a,Debit Card
86d6722c-121d-496c-8,Online Payments
7bb93a82-d69f-4552-b,Online Payments
